Date,SPY
2015-01-02,169.6878204345703
2015-01-05,166.6233673095703
2015-01-06,165.05393981933594
2015-01-07,167.11065673828125
2015-01-08,170.07608032226562
2015-01-09,168.7131805419922
2015-01-12,167.39157104492188
2015-01-13,166.9207000732422
2015-01-14,165.91294860839844
2015-01-15,164.39309692382812
2015-01-16,166.54901123046875
2015-01-20,166.9041748046875
2015-01-21,167.74673461914062
2015-01-22,170.2412567138672
2015-01-23,169.30789184570312
2015-01-26,169.70437622070312
2015-01-27,167.46585083007812
2015-01-28,165.31825256347656
2015-01-29,166.84637451171875
2015-01-30,164.74830627441406
2015-02-02,166.78855895996094
2015-02-03,169.20053100585938
2015-02-04,168.5561981201172
2015-02-05,170.2578125
2015-02-06,169.78697204589844
2015-02-09,169.0270538330078
2015-02-10,170.8277130126953
2015-02-11,170.9268341064453
2015-02-12,172.57061767578125
2015-02-13,173.281005859375
2015-02-17,173.55360412597656
2015-02-18,173.57017517089844
2015-02-19,173.44619750976562
2015-02-20,174.4869842529297
2015-02-23,174.46221923828125
2015-02-24,174.95787048339844
2015-02-25,174.80917358398438
2015-02-26,174.60264587402344
2015-02-27,174.00791931152344
2015-03-02,175.10653686523438
2015-03-03,174.38784790039062
2015-03-04,173.6527099609375
2015-03-05,173.84271240234375
2015-03-06,171.39768981933594
2015-03-09,172.10806274414062
2015-03-10,169.3161163330078
2015-03-11,168.91964721679688
2015-03-12,171.0673065185547
2015-03-13,170.0182342529297
2015-03-16,172.289794921875
2015-03-17,171.7776641845703
2015-03-18,173.84271240234375
2015-03-19,173.04971313476562
2015-03-20,174.5771942138672
2015-03-23,174.2369842529297
2015-03-24,173.2580108642578
2015-03-25,170.71913146972656
2015-03-26,170.3125457763672
2015-03-27,170.7025146484375
2015-03-30,172.78506469726562
2015-03-31,171.27500915527344
2015-04-01,170.66932678222656
2015-04-02,171.28330993652344
2015-04-06,172.43653869628906
2015-04-07,171.98020935058594
2015-04-08,172.56103515625
2015-04-09,173.32432556152344
2015-04-10,174.27015686035156
2015-04-13,173.4820098876953
2015-04-14,173.8138885498047
2015-04-15,174.59384155273438
2015-04-16,174.5440216064453
2015-04-17,172.5360870361328
2015-04-20,174.11265563964844
2015-04-21,173.9051971435547
2015-04-22,174.75975036621094
2015-04-23,175.19952392578125
2015-04-24,175.6060028076172
2015-04-27,174.8759002685547
2015-04-28,175.43182373046875
2015-04-29,174.70994567871094
2015-04-30,172.95932006835938
2015-05-01,174.83438110351562
2015-05-04,175.33224487304688
2015-05-05,173.32432556152344
2015-05-06,172.6107940673828
2015-05-07,173.29946899414062
2015-05-08,175.58103942871094
2015-05-11,174.74307250976562
2015-05-12,174.22039794921875
2015-05-13,174.2535858154297
2015-05-14,176.07070922851562
2015-05-15,176.261474609375
2015-05-18,176.80909729003906
2015-05-19,176.75099182128906
2015-05-20,176.6265411376953
2015-05-21,177.1409454345703
2015-05-22,176.71783447265625
2015-05-26,174.8177947998047
2015-05-27,176.47718811035156
2015-05-28,176.2781219482422
2015-05-29,175.18289184570312
2015-06-01,175.53961181640625
2015-06-02,175.36544799804688
2015-06-03,175.83006286621094
2015-06-04,174.3449249267578
2015-06-05,174.04620361328125
2015-06-08,172.97584533691406
2015-06-09,172.95098876953125
2015-06-10,175.0252685546875
2015-06-11,175.5894317626953
2015-06-12,174.24534606933594
2015-06-15,173.4985809326172
2015-06-16,174.4444122314453
2015-06-17,174.72653198242188
2015-06-18,176.54360961914062
2015-06-19,175.75985717773438
2015-06-22,176.6603546142578
2015-06-23,176.7853240966797
2015-06-24,175.50143432617188
2015-06-25,174.96780395507812
2015-06-26,174.93447875976562
2015-06-29,171.2660675048828
2015-06-30,171.62449645996094
2015-07-01,173.0001983642578
2015-07-02,172.84182739257812
2015-07-06,172.3499298095703
2015-07-07,173.43373107910156
2015-07-08,170.52406311035156
2015-07-09,170.83251953125
2015-07-10,172.9835205078125
2015-07-13,174.89280700683594
2015-07-14,175.65147399902344
2015-07-15,175.5930633544922
2015-07-16,177.00213623046875
2015-07-17,177.15219116210938
2015-07-20,177.2439422607422
2015-07-21,176.5435791015625
2015-07-22,176.226806640625
2015-07-23,175.23463439941406
2015-07-24,173.41709899902344
2015-07-27,172.40826416015625
2015-07-28,174.5259552001953
2015-07-29,175.72653198242188
2015-07-30,175.76820373535156
2015-07-31,175.50143432617188
2015-08-03,174.9094696044922
2015-08-04,174.56764221191406
2015-08-05,175.14295959472656
