Date,SPY
2015-01-02,169.68785095214844
2015-01-05,166.62335205078125
2015-01-06,165.05393981933594
2015-01-07,167.1106719970703
2015-01-08,170.07608032226562
2015-01-09,168.71316528320312
2015-01-12,167.3915252685547
2015-01-13,166.92068481445312
2015-01-14,165.91294860839844
2015-01-15,164.3931121826172
2015-01-16,166.54898071289062
2015-01-20,166.9041748046875
2015-01-21,167.7467041015625
2015-01-22,170.2412872314453
2015-01-23,169.3079071044922
2015-01-26,169.7043914794922
2015-01-27,167.46591186523438
2015-01-28,165.31822204589844
2015-01-29,166.84634399414062
2015-01-30,164.7482452392578
2015-02-02,166.7885284423828
2015-02-03,169.2005157470703
2015-02-04,168.55618286132812
2015-02-05,170.25784301757812
2015-02-06,169.7869873046875
2015-02-09,169.0270538330078
2015-02-10,170.82777404785156
2015-02-11,170.92686462402344
2015-02-12,172.57061767578125
2015-02-13,173.281005859375
2015-02-17,173.5535430908203
2015-02-18,173.5701446533203
2015-02-19,173.44622802734375
2015-02-20,174.48696899414062
2015-02-23,174.46218872070312
2015-02-24,174.95782470703125
2015-02-25,174.8091278076172
2015-02-26,174.6025848388672
2015-02-27,174.00787353515625
2015-03-02,175.1065216064453
2015-03-03,174.38784790039062
2015-03-04,173.6527557373047
2015-03-05,173.84274291992188
2015-03-06,171.39772033691406
2015-03-09,172.10806274414062
2015-03-10,169.31610107421875
2015-03-11,168.91969299316406
2015-03-12,171.06729125976562
2015-03-13,170.0182647705078
2015-03-16,172.28981018066406
2015-03-17,171.77761840820312
2015-03-18,173.84274291992188
2015-03-19,173.0497283935547
2015-03-20,174.57723999023438
2015-03-23,174.237060546875
2015-03-24,173.2579803466797
2015-03-25,170.71910095214844
2015-03-26,170.31253051757812
2015-03-27,170.7025146484375
2015-03-30,172.78504943847656
2015-03-31,171.27500915527344
2015-04-01,170.6692657470703
2015-04-02,171.2833251953125
2015-04-06,172.43658447265625
2015-04-07,171.980224609375
2015-04-08,172.56100463867188
2015-04-09,173.3243865966797
2015-04-10,174.270263671875
2015-04-13,173.4819793701172
2015-04-14,173.81390380859375
2015-04-15,174.59375
2015-04-16,174.5440216064453
2015-04-17,172.53614807128906
2015-04-20,174.11256408691406
2015-04-21,173.90512084960938
2015-04-22,174.7597198486328
2015-04-23,175.19949340820312
2015-04-24,175.6060028076172
2015-04-27,174.8759002685547
2015-04-28,175.4318084716797
2015-04-29,174.70994567871094
2015-04-30,172.9593048095703
2015-05-01,174.83444213867188
2015-05-04,175.332275390625
2015-05-05,173.3243865966797
2015-05-06,172.61080932617188
2015-05-07,173.2994384765625
2015-05-08,175.58116149902344
2015-05-11,174.7431182861328
2015-05-12,174.22042846679688
2015-05-13,174.25364685058594
2015-05-14,176.07064819335938
2015-05-15,176.26148986816406
2015-05-18,176.80909729003906
2015-05-19,176.75100708007812
2015-05-20,176.6265869140625
2015-05-21,177.1409912109375
2015-05-22,176.7178497314453
2015-05-26,174.8178253173828
2015-05-27,176.47720336914062
2015-05-28,176.278076171875
2015-05-29,175.18295288085938
2015-06-01,175.5396728515625
2015-06-02,175.3654327392578
2015-06-03,175.83004760742188
2015-06-04,174.3448486328125
2015-06-05,174.04617309570312
2015-06-08,172.97589111328125
2015-06-09,172.95098876953125
2015-06-10,175.02523803710938
2015-06-11,175.5894317626953
2015-06-12,174.2452850341797
2015-06-15,173.49864196777344
2015-06-16,174.44447326660156
2015-06-17,174.72654724121094
2015-06-18,176.5435791015625
2015-06-19,175.75990295410156
2015-06-22,176.66030883789062
2015-06-23,176.78536987304688
2015-06-24,175.50143432617188
2015-06-25,174.9678497314453
2015-06-26,174.93450927734375
2015-06-29,171.26605224609375
2015-06-30,171.62452697753906
2015-07-01,173.00022888183594
2015-07-02,172.84178161621094
2015-07-06,172.34994506835938
2015-07-07,173.43385314941406
2015-07-08,170.52398681640625
2015-07-09,170.8324737548828
2015-07-10,172.98353576660156
2015-07-13,174.89279174804688
2015-07-14,175.6514892578125
2015-07-15,175.5931396484375
2015-07-16,177.00213623046875
2015-07-17,177.15220642089844
2015-07-20,177.24392700195312
2015-07-21,176.54354858398438
2015-07-22,176.22683715820312
2015-07-23,175.2346649169922
2015-07-24,173.41712951660156
2015-07-27,172.40826416015625
2015-07-28,174.5259552001953
2015-07-29,175.72653198242188
2015-07-30,175.7682342529297
2015-07-31,175.50143432617188
2015-08-03,174.90943908691406
2015-08-04,174.567626953125
2015-08-05,175.14295959472656
2015-08-06,173.70892333984375
2015-08-07,173.3753662109375
2015-08-10,175.5597686767578
2015-08-11,173.97572326660156
2015-08-12,174.18411254882812
2015-08-13,173.96737670898438
2015-08-14,174.6009979248047
2015-08-17,175.576416015625
2015-08-18,175.06784057617188
2015-08-19,173.6838836669922
2015-08-20,170.05712890625
2015-08-21,164.93797302246094
2015-08-24,157.9929656982422
2015-08-25,156.1337127685547
2015-08-26,162.1282958984375
2015-08-27,166.13858032226562
2015-08-28,166.14688110351562
2015-08-31,164.80465698242188
2015-09-01,159.8855438232422
2015-09-02,162.92039489746094
2015-09-03,163.0370635986328
2015-09-04,160.56919860839844
2015-09-08,164.60446166992188
2015-09-09,162.40341186523438
2015-09-10,163.28713989257812
2015-09-11,164.02920532226562
2015-09-14,163.42059326171875
2015-09-15,165.46328735351562
2015-09-16,166.89730834960938
2015-09-17,166.52203369140625
2015-09-18,163.80088806152344
2015-09-21,164.64735412597656
2015-09-22,162.51026916503906
2015-09-23,162.2504425048828
2015-09-24,161.6637725830078
2015-09-25,161.6219482421875
2015-09-28,157.5656280517578
2015-09-29,157.65780639648438
2015-09-30,160.5994415283203
2015-10-01,161.01846313476562
2015-10-02,163.4237060546875
2015-10-05,166.3318328857422
2015-10-06,165.76202392578125
2015-10-07,167.11964416503906
2015-10-08,168.62815856933594
2015-10-09,168.7286834716797
2015-10-12,168.88796997070312
2015-10-13,167.82363891601562
2015-10-14,167.01902770996094
2015-10-15,169.5835418701172
2015-10-16,170.35455322265625
2015-10-19,170.4384002685547
2015-10-20,170.22052001953125
2015-10-21,169.16453552246094
2015-10-22,172.02236938476562
2015-10-23,173.90797424316406
2015-10-26,173.48062133789062
2015-10-27,173.1453399658203
2015-10-28,175.1147918701172
2015-10-29,175.01422119140625
2015-10-30,174.260009765625
2015-11-02,176.3216552734375
2015-11-03,176.83287048339844
2015-11-04,176.2965087890625
2015-11-05,176.12049865722656
2015-11-06,176.02835083007812
2015-11-09,174.38568115234375
2015-11-10,174.78799438476562
2015-11-11,174.1007843017578
2015-11-12,171.67037963867188
2015-11-13,169.7427978515625
2015-11-16,172.32406616210938
2015-11-17,172.19834899902344
2015-11-18,174.93040466308594
2015-11-19,174.7795867919922
2015-11-20,175.41650390625
2015-11-23,175.2153778076172
2015-11-24,175.45004272460938
2015-11-25,175.42491149902344
2015-11-27,175.6260223388672
2015-11-30,174.89686584472656
2015-12-01,176.56466674804688
2015-12-02,174.76283264160156
2015-12-03,172.31564331054688
2015-12-04,175.67630004882812
2015-12-07,174.61199951171875
2015-12-08,173.43865966796875
2015-12-09,172.08937072753906
2015-12-10,172.5335693359375
2015-12-11,169.189697265625
2015-12-14,170.0445098876953
2015-12-15,171.82955932617188
2015-12-16,174.3437957763672
2015-12-17,171.68714904785156
2015-12-18,168.62847900390625
2015-12-21,170.0196075439453
2015-12-22,171.56231689453125
2015-12-23,173.68679809570312
2015-12-24,173.40017700195312
2015-12-28,173.0039520263672
2015-12-29,174.8502197265625
2015-12-30,173.6109161376953
2015-12-31,171.87425231933594
2016-01-04,169.47157287597656
2016-01-05,169.7582244873047
2016-01-06,167.61685180664062
2016-01-07,163.59542846679688
2016-01-08,161.79965209960938
2016-01-11,161.95994567871094
2016-01-12,163.26663208007812
2016-01-13,159.19468688964844
2016-01-14,161.8081512451172
2016-01-15,158.33474731445312
2016-01-19,158.54551696777344
2016-01-20,156.51377868652344
2016-01-21,157.39051818847656
2016-01-22,160.61944580078125
2016-01-25,158.19139099121094
2016-01-26,160.34963989257812
2016-01-27,158.6045684814453
2016-01-28,159.4307403564453
2016-01-29,163.3172149658203
2016-02-01,163.2582244873047
2016-02-02,160.31593322753906
2016-02-03,161.2770538330078
2016-02-04,161.52993774414062
2016-02-05,158.4528045654297
2016-02-08,156.3197784423828
2016-02-09,156.3282928466797
2016-02-10,156.19334411621094
2016-02-11,154.16162109375
